YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -target 600 -threads 50 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb3-kill.xml -t
 0 sec: 0 operations; 
[UPDATE], 468000, 4038.6153846153848
[UPDATE], 469000, 7413.190476190476
[UPDATE], 470000, 3871.0
[UPDATE], 471000, 3922.125
[UPDATE], 472000, 5930.090909090909
[UPDATE], 473000, 3788.9
[UPDATE], 474000, 3605.5
[UPDATE], 475000, 14863.266666666666
[UPDATE], 476000, 8041.473684210527
[UPDATE], 477000, 3891.909090909091
[UPDATE], 478000, 3751.733333333333
[UPDATE], 479000, 3880.375
[UPDATE], 480000, 7742.701492537313
[UPDATE], 481000, 7885.583333333333
[UPDATE], 482000, 5959.109375
[UPDATE], 483000, 6062.276315789473
[UPDATE], 484000, 10055.015151515152
[UPDATE], 485000, 6946.276315789473
[UPDATE], 486000, 13625.442622950819
[UPDATE], 487000, 15615.157894736842
[UPDATE], 488000, 7742.918918918919
[UPDATE], 489000, 10532.493670886075
[UPDATE], 490000, 6322.5
[UPDATE], 491000, 7967.4358974358975
[UPDATE], 492000, 9141.59677419355
[UPDATE], 493000, 8619.85
[UPDATE], 494000, 10532.426229508197
[UPDATE], 495000, 9397.0
[UPDATE], 496000, 8998.951219512195
[UPDATE], 497000, 4971.903225806452
[UPDATE], 498000, 5408.380952380952
[UPDATE], 499000, 3500.1304347826085
[UPDATE], 500000, 5612.547169811321
[UPDATE], 501000, 5580.4915254237285
[UPDATE], 502000, 7913.790322580645
[UPDATE], 503000, 4655.356164383562
[UPDATE], 504000, 4776.413793103448
[UPDATE], 505000, 4635.727272727273
[UPDATE], 506000, 5612.533333333334
[UPDATE], 507000, 4199.972222222223
[UPDATE], 508000, 7166.285714285715
[UPDATE], 509000, 7497.263157894737
[UPDATE], 510000, 9243.573770491803
[UPDATE], 511000, 6369.326086956522
[UPDATE], 512000, 6384.2307692307695
[UPDATE], 513000, 7417.875
[UPDATE], 514000, 8883.818181818182
[UPDATE], 515000, 6021.214285714285
[UPDATE], 516000, 4066.344827586207
[UPDATE], 517000, 4512.4
[UPDATE], 518000, 5395.8
[UPDATE], 519000, 5698.421052631579
[UPDATE], 520000, 3884514.4210526315
[UPDATE], 521000, 9307.631578947368
[UPDATE], 522000, 8308.716666666667
[UPDATE], 523000, 6895.609375
[UPDATE], 524000, 5967.1551724137935
[UPDATE], 525000, 7433.969230769231
[UPDATE], 526000, 6723.764705882353
[UPDATE], 527000, 5813.409638554217
[UPDATE], 528000, 5816.636363636364
[UPDATE], 529000, 5171.740740740741
[UPDATE], 530000, 8651.742857142857
[UPDATE], 531000, 5830.579710144928
[UPDATE], 532000, 9259.745098039215
[UPDATE], 533000, 4744.0298507462685
[UPDATE], 534000, 6807.35
[UPDATE], 535000, 5344.652173913043
[UPDATE], 536000, 4080.9523809523807
[UPDATE], 537000, 5244.705882352941
[UPDATE], 538000, 6889.214285714285
[UPDATE], 539000, 6454.142857142857
[UPDATE], 540000, 8985.608695652174
[UPDATE], 541000, 5909.464285714285
[UPDATE], 542000, 8629.476923076923
[UPDATE], 543000, 5063.0615384615385
[UPDATE], 544000, 6039.96875
[UPDATE], 545000, 5520.753846153846
[UPDATE], 546000, 6739.626865671642
[UPDATE], 547000, 4119.5
[UPDATE], 548000, 6062.711538461538
[UPDATE], 549000, 7668.661971830986
[UPDATE], 550000, 13738.581081081082
[UPDATE], 551000, 10321.05
[UPDATE], 552000, 8166.241935483871
[UPDATE], 553000, 6890.933333333333
[UPDATE], 554000, 4183.6
[UPDATE], 555000, 7088.966101694915
[UPDATE], 556000, 6703.419354838709
[UPDATE], 557000, 5824.259259259259
[UPDATE], 558000, 10899.894736842105
[UPDATE], 559000, 4866.76
[UPDATE], 560000, 6589.676923076923
[UPDATE], 561000, 8734.197530864198
[UPDATE], 562000, 9312.716981132075
[UPDATE], 563000, 4886.347826086957
[UPDATE], 564000, 8583.354166666666
[UPDATE], 565000, 4367.926470588235
[UPDATE], 566000, 9692.5625
